Link,precio,expensas,Barrio,Sup. cubierta,Antiguedad,Baños,Ambientes,Disposición,Orientación,Dormitorios,Toilettes,Estado,Cocheras,Apto profesional,Permite mascota,Moneda,Total,Barrio_simplificado,m2,precio_m2,expensas_ratio,amb_m2,Antig_binned,log_total
https://www.argenprop.com/departamento-alquiler--18216727,500000.0,0.0,"Parque Chas, Capital Federal",35.0,,1.0,,Contra frente,Sur,,,,,,,$,500000.0,Parque Chas,35.0,14285.714285714286,0.0,,,13.122365377402328
https://www.argenprop.com/departamento-alquiler--18255689,810000.0,98000.0,"Parque Chas, Capital Federal",32.0,7.0,1.0,2.0,Contra Frente,Noreste,1.0,,Excelente,,,,USD,908000.0,Parque Chas,32.0,28375.0,0.10792951541850221,0.0625,6-10,13.719000758904409
https://www.argenprop.com/departamento-alquiler--18264672,621000.0,0.0,"Parque Chas, Capital Federal",30.0,3.0,1.0,,,,,,Excelente,,,,USD,621000.0,Parque Chas,30.0,20700.0,0.0,,1-5,13.339087971220277
https://www.argenprop.com/departamento-alquiler--18273692,580000.0,108000.0,"Parque Chas, Capital Federal",30.0,34.0,1.0,2.0,Lateral,,1.0,,Excelente,,,,$,688000.0,Parque Chas,30.0,22933.333333333332,0.1569767441860465,0.06666666666666667,21-40,13.441545570402797
https://www.argenprop.com/departamento-alquiler--18275663,607500.0,0.0,"Parque Chas, Capital Federal",35.0,12.0,1.0,,Frente,,,,Excelente,,,,USD,607500.0,Parque Chas,35.0,17357.14285714286,0.0,,11-20,13.317109100286022
https://www.argenprop.com/departamento-alquiler--18278502,600000.0,140000.0,"Parque Chas, Capital Federal",33.0,,1.0,,Frente,Noreste,,,,,,,$,740000.0,Parque Chas,33.0,22424.242424242424,0.1891891891891892,,,13.51440681653079
https://www.argenprop.com/departamento-alquiler--18279156,600000.0,0.0,"Parque Chas, Capital Federal",35.0,12.0,1.0,,Frente,,,,Excelente,,,,$,600000.0,Parque Chas,35.0,17142.85714285714,0.0,,11-20,13.304686600863562
https://www.argenprop.com/departamento-alquiler--18280049,650000.0,86000.0,"Parque Chas, Capital Federal",38.0,52.0,1.0,2.0,,,1.0,,,,,,$,736000.0,Parque Chas,38.0,19368.42105263158,0.11684782608695653,0.05263157894736842,41-80,13.508986756405742
https://www.argenprop.com/departamento-alquiler--18297301,500000.0,150000.0,"Parque Chas, Capital Federal",36.0,,1.0,,Frente,Oeste,,,Excelente,,,,$,650000.0,Parque Chas,36.0,18055.555555555555,0.23076923076923078,,,13.384729180332174
https://www.argenprop.com/departamento-alquiler--18303583,550000.0,114000.0,"Parque Chas, Capital Federal",30.0,2.0,1.0,,Contra Frente,,,,Excelente,,,,$,664000.0,Parque Chas,30.0,22133.333333333332,0.1716867469879518,,1-5,13.406038934481533
https://www.argenprop.com/departamento-alquiler--18321109,800000.0,0.0,"Parque Chas, Capital Federal",47.0,3.0,1.0,2.0,,,1.0,,,,,,$,800000.0,Parque Chas,47.0,17021.27659574468,0.0,0.0425531914893617,1-5,13.592368256649284
https://www.argenprop.com/departamento-alquiler--18323515,550000.0,94000.0,"Parque Chas, Capital Federal",34.0,,1.0,,Contra frente,,,,,,Apto profesi.,,$,644000.0,Parque Chas,34.0,18941.176470588234,0.14596273291925466,,,13.375455557880317
https://www.argenprop.com/departamento-alquiler--18326378,600000.0,110000.0,"Parque Chas, Capital Federal",39.0,4.0,1.0,2.0,,,1.0,,,,,,$,710000.0,Parque Chas,39.0,18205.128205128207,0.15492957746478872,0.05128205128205128,1-5,13.47302165746721
https://www.argenprop.com/departamento-alquiler--18329267,877500.0,93000.0,"Parque Chas, Capital Federal",35.0,8.0,1.0,2.0,,,1.0,,Excelente,,,,USD,970500.0,Parque Chas,35.0,27728.571428571428,0.09582689335394126,0.05714285714285714,6-10,13.785567711987374
https://www.argenprop.com/departamento-alquiler--18334469,750000.0,0.0,"Parque Chas, Capital Federal",39.0,1.0,1.0,2.0,,,1.0,,,,,,$,750000.0,Parque Chas,39.0,19230.76923076923,0.0,0.05128205128205128,1-5,13.527829818844937
https://www.argenprop.com/departamento-alquiler--12787345,300000.0,0.0,"Parque Patricios, Capital Federal",25.0,60.0,1.0,2.0,Interno,,1.0,,Bueno,,,,$,300000.0,Parque Patricios,25.0,12000.0,0.0,0.08,41-80,12.611541086966115
https://www.argenprop.com/departamento-alquiler--18009105,500000.0,200000.0,"Parque Patricios, Capital Federal",48.0,45.0,1.0,3.0,Contra Frente,Norte,2.0,,Muy Bueno,,,,$,700000.0,Parque Patricios,48.0,14583.333333333334,0.2857142857142857,0.0625,41-80,13.45883704259595
https://www.argenprop.com/departamento-alquiler--2697915,650000.0,178000.0,"Parque Patricios, Capital Federal",57.0,55.0,1.0,3.0,Contra frente,Este,2.0,,Bueno,,,,$,828000.0,Parque Patricios,57.0,14526.315789473685,0.21497584541062803,0.05263157894736842,41-80,13.626769641096136
https://www.argenprop.com/departamento-alquiler--18310624,700000.0,140000.0,"Parque Patricios, Capital Federal",55.0,50.0,1.0,3.0,Frente,,2.0,,Muy Bueno,,,,$,840000.0,Parque Patricios,55.0,15272.727272727272,0.16666666666666666,0.05454545454545454,41-80,13.641158361294979
https://www.argenprop.com/departamento-alquiler--18244057,500000.0,0.0,"Parque Patricios, Capital Federal",24.0,,,,,,1.0,,,,,,$,500000.0,Parque Patricios,24.0,20833.333333333332,0.0,,,13.122365377402328
https://www.argenprop.com/departamento-alquiler--12804614,500000.0,0.0,"Parque Patricios, Capital Federal",44.0,2.0,1.0,,Frente,,,,,,Apto profesi.,,$,500000.0,Parque Patricios,44.0,11363.636363636364,0.0,,1-5,13.122365377402328
https://www.argenprop.com/departamento-alquiler--17953144,800000.0,150000.0,"Parque Patricios, Capital Federal",62.0,,1.0,3.0,Frente,Noroeste,2.0,,,,,Per. mascota,$,950000.0,Parque Patricios,62.0,15322.58064516129,0.15789473684210525,0.04838709677419355,,13.76421831620775
